,R1
692.0,14
2817.0,14
642.0,14
2874.0,14
743.0,14
802.0,14
2395.0,14
1114.0,14
726.0,14
1026.0,14
762.0,14
2631.0,14
2422.0,14
2236.0,14
2548.0,14
2516.0,14
705.0,14
1843.0,14
765.0,14
834.0,14
2320.0,14
3017.0,14
2997.0,14
2298.0,14
2472.0,14
1148.0,14
2664.0,14
2490.0,14
1238.0,14
2676.0,14
2584.0,14
2838.0,14
2861.0,14
700.0,14
644.0,14
817.0,14
2765.0,14
1177.0,14
2748.0,14
833.0,14
2469.0,14
1060.0,14
2834.0,14
973.0,14
1030.0,14
852.0,14
2273.0,14
675.0,14
2029.0,14
1271.0,14
2679.0,14
2146.0,14
3022.0,14
3142.0,14
626.0,14
2717.0,14
2573.0,14
2364.0,14
2462.0,14
2141.0,14
2775.0,14
643.0,14
2127.0,14
2703.0,14
3198.0,14
2032.0,14
698.0,14
2633.0,14
1016.0,14
2948.0,14
2391.0,14
2656.0,14
2541.0,14
2489.0,14
2302.0,14
2777.0,14
2213.0,14
2908.0,14
1310.0,14
2866.0,14
2241.0,14
2811.0,14
2494.0,14
1028.0,14
3191.0,14
2634.0,14
2776.0,14
3080.0,14
2197.0,14
3078.0,14
2589.0,14
2552.0,14
1315.0,14
1291.0,14
2542.0,14
2201.0,14
2650.0,14
593.0,14
2549.0,14
2352.0,14
2190.0,14
2011.0,14
581.0,14
2665.0,14
2707.0,13
673.0,13
670.0,13
2820.0,13
1217.0,13
2639.0,13
2566.0,13
1080.0,13
2578.0,13
1159.0,13
2432.0,13
1972.0,13
993.0,13
727.0,13
2527.0,13
2719.0,13
1246.0,13
666.0,13
2157.0,13
3102.0,13
801.0,13
3225.0,13
2912.0,13
761.0,13
2346.0,13
2458.0,13
788.0,13
2247.0,13
3081.0,13
2412.0,13
1022.0,13
2710.0,13
2179.0,13
734.0,13
2486.0,13
2852.0,13
2642.0,13
2145.0,13
2617.0,13
2647.0,13
2841.0,13
764.0,13
1994.0,13
3182.0,13
2743.0,13
1997.0,13
2708.0,13
2322.0,13
2945.0,13
723.0,13
2696.0,13
2366.0,13
2217.0,13
2270.0,13
2649.0,13
1261.0,13
932.0,13
3013.0,13
2784.0,13
2532.0,13
2065.0,13
2482.0,13
2071.0,13
2205.0,13
1105.0,13
2529.0,13
2173.0,13
826.0,13
2259.0,13
2448.0,13
2050.0,13
2271.0,13
1058.0,13
2143.0,13
2117.0,13
2662.0,13
2537.0,13
2956.0,13
2757.0,13
2094.0,13
2543.0,13
2178.0,13
2663.0,13
1973.0,13
737.0,13
2061.0,13
3135.0,13
3357.0,13
2324.0,13
2076.0,13
2701.0,13
754.0,13
1930.0,13
2568.0,13
2159.0,13
2933.0,13
803.0,13
2564.0,13
1317.0,13
1190.0,13
1335.0,13
2103.0,13
2340.0,13
1162.0,13
1000.0,13
1294.0,13
3092.0,13
2139.0,13
646.0,13
2786.0,13
2311.0,13
3110.0,13
2815.0,13
2800.0,13
2425.0,13
2056.0,13
2353.0,13
3113.0,13
2006.0,13
2957.0,13
2919.0,13
1277.0,13
702.0,13
1138.0,13
1265.0,13
2441.0,13
3064.0,13
2739.0,13
2709.0,13
2936.0,13
814.0,13
1297.0,13
652.0,13
770.0,13
2447.0,13
3325.0,13
2801.0,13
2723.0,13
2005.0,13
3285.0,13
2389.0,13
2533.0,13
744.0,13
2755.0,13
3109.0,13
2483.0,13
2828.0,13
741.0,13
1064.0,13
2446.0,13
2252.0,13
1098.0,13
2857.0,13
3090.0,13
3195.0,13
861.0,13
1605.0,13
2978.0,13
812.0,13
2619.0,13
668.0,13
1121.0,13
2783.0,13
1013.0,13
2885.0,13
3127.0,13
2758.0,13
1041.0,13
2553.0,13
2791.0,13
2054.0,13
2244.0,13
2405.0,12
2114.0,12
2108.0,12
2567.0,12
3176.0,12
1111.0,12
2036.0,12
2319.0,12
2194.0,12
1807.0,12
2191.0,12
3177.0,12
2240.0,12
2481.0,12
1053.0,12
1156.0,12
2269.0,12
1305.0,12
756.0,12
2504.0,12
1029.0,12
1301.0,12
3136.0,12
876.0,12
2299.0,12
2212.0,12
2551.0,12
3445.0,12
658.0,12
3202.0,12
3106.0,12
980.0,12
2058.0,12
2695.0,12
2496.0,12
1382.0,12
2722.0,12
3154.0,12
2906.0,12
2534.0,12
1001.0,12
2280.0,12
2914.0,12
1780.0,12
2675.0,12
2845.0,12
1959.0,12
2184.0,12
1281.0,12
1900.0,12
2125.0,12
3148.0,12
1090.0,12
1198.0,12
2003.0,12
3141.0,12
2626.0,12
2505.0,12
2694.0,12
2227.0,12
963.0,12
2001.0,12
2651.0,12
2602.0,12
2284.0,12
3138.0,12
3107.0,12
2781.0,12
2266.0,12
2277.0,12
2427.0,12
2640.0,12
2793.0,12
2880.0,12
1364.0,12
2080.0,12
693.0,12
1505.0,12
2313.0,12
2993.0,12
1062.0,12
2392.0,12
2131.0,12
2289.0,12
2804.0,12
2035.0,12
3123.0,12
2869.0,12
2172.0,12
1288.0,12
633.0,12
2813.0,12
739.0,12
3024.0,12
2153.0,12
2394.0,12
2644.0,12
2771.0,12
1067.0,12
1189.0,12
1152.0,12
2555.0,12
3044.0,12
2290.0,12
1856.0,12
3680.0,12
2718.0,12
2700.0,12
2177.0,12
3126.0,12
2618.0,12
1255.0,12
1071.0,12
772.0,12
2150.0,12
2326.0,12
2124.0,12
2946.0,12
3098.0,12
2605.0,12
2687.0,12
1313.0,12
2849.0,12
2455.0,12
2207.0,12
1078.0,12
2106.0,12
3237.0,12
2986.0,12
793.0,12
2641.0,12
2576.0,12
2843.0,12
3075.0,12
1992.0,12
3219.0,12
1314.0,12
1967.0,12
2188.0,12
1403.0,12
677.0,12
2323.0,12
2741.0,12
2685.0,12
1311.0,12
2531.0,12
2554.0,12
2401.0,12
3139.0,12
1077.0,12
2864.0,12
2774.0,12
2692.0,12
2796.0,12
2929.0,12
2693.0,12
2039.0,12
3200.0,12
3117.0,12
1814.0,12
1240.0,12
2922.0,12
1810.0,12
2764.0,12
1269.0,12
2291.0,12
2421.0,12
1142.0,12
2116.0,12
2862.0,12
3211.0,12
3062.0,12
2850.0,12
2189.0,12
1046.0,12
1185.0,12
2623.0,12
2681.0,12
2752.0,12
2250.0,12
2038.0,12
2881.0,12
2600.0,12
3085.0,12
2086.0,12
1224.0,12
2100.0,12
2461.0,12
751.0,11
1027.0,11
2349.0,11
2466.0,11
2294.0,11
2515.0,11
2138.0,11
1383.0,11
3296.0,11
2373.0,11
1075.0,11
3104.0,11
2745.0,11
1199.0,11
2396.0,11
2763.0,11
2246.0,11
2836.0,11
2877.0,11
1014.0,11
