status_code,t,status,l
2,2019-02-21T23:33:00.000Z,Registered,2019-02-22T13:45:53.728Z
2,2019-02-21T23:33:00.000Z,Registered,2019-02-23T00:50:22.326Z
1,2019-02-23T00:54:42.000Z,TF,2019-02-23T00:54:42.000Z
2,2019-02-23T01:27:24.000Z,Registered,2019-02-23T03:50:20.992Z
2,2019-02-23T01:57:56.000Z,Registered,2019-02-23T08:45:51.456Z
2,2019-02-23T01:57:56.000Z,Registered,2019-02-28T13:45:40.325Z
1,2019-02-23T01:57:56.000Z,TF,2019-02-23T01:57:56.000Z
1,2019-02-23T01:57:56.000Z,TF,2019-02-23T10:45:49.251Z
1,2019-02-28T07:24:41.000Z,TF,2019-02-28T15:07:44.836Z
2,2019-02-28T07:24:41.000Z,Registered,2019-02-28T22:45:56.047Z
1,2019-02-28T07:24:41.000Z,TF,2019-03-01T01:51:03.283Z
1,2019-03-01T01:53:38.000Z,TF,2019-03-01T10:46:11.578Z
2,2019-03-01T01:53:38.000Z,Registered,2019-03-01T01:53:38.000Z
1,2019-03-01T01:53:38.000Z,TF,2019-03-01T13:45:46.911Z
1,2019-03-01T01:53:38.000Z,TF,2019-03-02T02:51:52.643Z
2,2019-03-01T01:53:38.000Z,Registered,2019-03-01T08:46:45.181Z
2,2019-03-02T01:58:48.000Z,Registered,2019-03-02T08:45:51.632Z
1,2019-03-02T03:20:07.000Z,TF,2019-03-02T10:46:03.335Z
2,2019-03-02T03:20:07.000Z,Registered,2019-03-02T14:46:22.690Z
1,2019-03-02T03:20:07.000Z,TF,2019-03-03T01:46:43.144Z
2,2019-03-02T03:20:07.000Z,Registered,2019-03-03T08:46:16.604Z
1,2019-03-03T02:12:09.000Z,TF,2019-03-03T10:46:01.808Z
1,2019-03-03T02:12:09.000Z,TF,2019-03-04T01:46:40.205Z
2,2019-03-03T02:12:09.000Z,Registered,2019-03-03T13:45:53.699Z
2,2019-03-04T01:31:27.000Z,Registered,2019-03-04T07:46:15.540Z
1,2019-03-04T02:39:30.000Z,TF,2019-03-04T10:46:03.274Z
2,2019-03-04T02:39:30.000Z,Registered,2019-03-04T02:39:30.000Z
1,2019-03-04T02:39:30.000Z,TF,2019-03-04T02:39:30.000Z
1,2019-03-04T02:39:30.000Z,TF,2019-03-04T17:45:48.581Z
1,2019-03-04T02:39:30.000Z,TF,2019-03-05T00:53:42.060Z
2,2019-03-04T02:39:30.000Z,Registered,2019-03-05T06:46:33.418Z
1,2019-03-05T01:45:55.000Z,TF,2019-03-05T09:45:55.331Z
2,2019-03-05T01:45:55.000Z,Registered,2019-03-05T11:46:03.472Z
1,2019-03-05T01:45:55.000Z,TF,2019-03-05T01:45:55.000Z
2,2019-03-05T01:45:55.000Z,Registered,2019-03-05T01:45:55.000Z
1,2019-03-05T01:45:55.000Z,TF,2019-03-06T01:46:46.412Z
2,2019-03-05T01:45:55.000Z,Registered,2019-03-06T07:45:56.483Z
1,2019-03-06T02:10:03.000Z,TF,2019-03-06T09:45:54.910Z
2,2019-03-06T02:10:03.000Z,Registered,2019-03-06T12:46:16.158Z
1,2019-03-06T02:10:03.000Z,TF,2019-03-06T17:45:53.589Z
2,2019-03-06T02:10:03.000Z,Registered,2019-03-06T02:10:03.000Z
